id,name,lastname,price,flycode,typePassenger,statusFlight
1,Lou,Gonzalez,10000,BA2491A,FirstClass,Aterrizado
2,Ulrike,Munoz,25000,IB0800A,FirstClass,Aterrizado
3,Brade,Rojas,20000,MM0987B,FirstClass,En Horario
4,Kimbell,Diaz,50000,BA2491A,FirstClass,Aterrizado
5,Sheelagh,Perez,18000,IB0800A,FirstClass,Aterrizado
6,Gayle,Soto,30000,MM0987B,FirstClass,En Horario
7,Kimberlee,Contreras,33000,BA2491A,FirstClass,Aterrizado
8,Henrieta,Silva,30000,IB0800A,FirstClass,Aterrizado
9,Jeanine,Martinez,18000,MM0987B,FirstClass,En Horario
10,Aggie,Sepulveda,15000,BA2491A,FirstClass,Aterrizado
11,Brandea,Morales,15000,IB0800A,FirstClass,Aterrizado
12,Cordelie,Rodriguez,50000,IB0800A,FirstClass,Aterrizado
13,Shel,Lopez,50000,MM0987B,FirstClass,En Horario
14,Bronnie,Fuentes,20000,MM0987B,FirstClass,En Horario
15,Megen,Hernandez,10000,BA2491A,FirstClass,Aterrizado
16,Iver,Torres,12000,BA2491A,FirstClass,Aterrizado
17,Ernesta,Araya,37000,BA2491A,FirstClass,Aterrizado
18,Cirillo,Flores,50000,MM0987B,FirstClass,En Horario
19,Park,Espinoza,30000,MM0987B,FirstClass,En Horario
20,Bellanca,Valenzuela,15000,BA2491A,FirstClass,Aterrizado
